Player,League,Squad,Country,Position,Annualized Salary
I. Winter,A,Fanatical Outlaws,Danan Seekeeling,DF,25480000
P. Nakubulwa,A,Fanatical Outlaws,Dosqaly,DF,9950000
M. Mahlangu,A,Fanatical Outlaws,Imaar Vircoand,DF,26500000
I. Huber,A,Fanatical Outlaws,Lenia Gerdanho,DF,25530000
A. Kobusingye,A,Fanatical Outlaws,People's Land of Maneau,DF,9510000
F. Kizito,A,Fanatical Outlaws,People's Land of Maneau,DF,18120000
J. Bala,A,Fanatical Outlaws,People's Land of Maneau,DF,22520000
L. Rezaei,A,Fanatical Outlaws,People's Land of Maneau,DF,25710000
J. Teko,A,Fanatical Outlaws,Sobianitedrucy,DF,7640000
D. Oren,A,Fanatical Outlaws,Central Diasongo,FW,29330000
F. Lubowa,A,Fanatical Outlaws,Newgan Ruland,FW,21810000
B. De Rosa,A,Fanatical Outlaws,People's Land of Maneau,FW,25600000
I. Namirimu,A,Fanatical Outlaws,Thaijagypt,FW,25250000
F. Dauda,A,Fanatical Outlaws,Nganion,GK,18470000
S. Kiconco,A,Fanatical Outlaws,Nkasland Cronestan,GK,16720000
R. Namuganza,A,Fanatical Outlaws,People's Land of Maneau,GK,17850000
R. Chee,A,Fanatical Outlaws,Southslands,GK,4940000
F. Pop,A,Fanatical Outlaws,Galamily,MF,31300000
D. Alshehri,A,Fanatical Outlaws,People's Land of Maneau,MF,20200000
I. Iddrisu,A,Fanatical Outlaws,People's Land of Maneau,MF,16220000
L. Goodarzi,A,Fanatical Outlaws,People's Land of Maneau,MF,11440000
Y. Joseph,A,Fanatical Outlaws,People's Land of Maneau,MF,12880000
I. Horváth,A,Fanatical Outlaws,Western Niasland,MFDF,11780000
J. Akello,A,Fanatical Outlaws,Bernepamar,MFFW,27820000
I. Kamukama,A,Fanatical Outlaws,Lefghau,MFFW,31460000
W. Lew,A,Fanatical Outlaws,Nganion,MFFW,22810000
M. Namukwaya,A,Fanatical Outlaws,Ngoque Blicri,MFFW,25650000
U. Pichler,A,Fanatical Outlaws,Quewenia,MFFW,17900000
H. Tourgeman,A,Fanatical Outlaws,Rarita,MFFW,29240000
R. Petrenko,A,Fighting Cougars,Lefghau,DF,17170000
Z. Salisu,A,Fighting Cougars,Nganion,DF,19570000
D. Ikeda,A,Fighting Cougars,People's Land of Maneau,DF,16490000
I. Ludwig,A,Fighting Cougars,People's Land of Maneau,DF,26490000
K. Tóth,A,Fighting Cougars,People's Land of Maneau,DF,24130000
U. Ortíz,A,Fighting Cougars,People's Land of Maneau,DF,14590000
O. Ilukol,A,Fighting Cougars,Sobianitedrucy,DF,15190000
D. bin Salleh,A,Fighting Cougars,Southslands,DF,15510000
G. Köhler,A,Fighting Cougars,People's Land of Maneau,DFFW,23300000
